Arrows , o , 105 , 1417467419479 , 538.6729 , 273.1449
Whether , t , 47 , 1417467445314 , 88.2199 , 156.3587
Whether , t , 47 , 1417467445355 , 87.4755 , 155.5935
Whether , t , 47 , 1417467445390 , 87.5115 , 155.7802
Whether , t , 47 , 1417467445425 , 86.0962 , 156.6724
Whether , t , 47 , 1417467445460 , 85.442 , 157.4709
Whether , t , 47 , 1417467445496 , 84.7417 , 157.5738
Whether , t , 47 , 1417467445531 , 85.0041 , 157.9301
Whether , t , 47 , 1417467445567 , 85.0528 , 159.395
Whether , t , 47 , 1417467445612 , 84.7081 , 159.9394
Whether , t , 47 , 1417467445647 , 84.4338 , 160.4213
Whether , t , 47 , 1417467445682 , 83.9465 , 161.8065
Whether , t , 47 , 1417467445717 , 85.1433 , 162.813
Whether , t , 47 , 1417467445752 , 85.5881 , 164.7473
Whether , t , 47 , 1417467445797 , 85.3473 , 165.8176
Whether , t , 47 , 1417467445832 , 84.8508 , 165.3995
Whether , t , 47 , 1417467445868 , 85.2823 , 165.9444
Whether , t , 47 , 1417467445904 , 85.7529 , 167.4509
Whether , t , 47 , 1417467445939 , 85.1521 , 167.7501
Whether , t , 47 , 1417467445974 , 84.1157 , 168.9918
Whether , t , 47 , 1417467446020 , 83.9958 , 168.523
Whether , t , 47 , 1417467446054 , 83.7387 , 170.1413
Whether , t , 47 , 1417467446089 , 84.3851 , 170.0555
Whether , t , 47 , 1417467446123 , 84.5755 , 171.1499
Whether , t , 47 , 1417467446158 , 85.0845 , 171.4819
