Flesh , e , 319 , 1418592368126 , 165.2991 , 721.6982
end , d , 196 , 1418592395845 , 454.9593 , 461.089
end , d , 196 , 1418592395880 , 455.7921 , 462.4951
end , d , 196 , 1418592395915 , 454.7344 , 462.9
end , d , 196 , 1418592395950 , 454.4345 , 462.2108
end , d , 196 , 1418592395995 , 451.8488 , 460.3902
end , d , 196 , 1418592396030 , 453.3702 , 461.4364
end , d , 196 , 1418592396065 , 452.8512 , 462.6173
end , d , 196 , 1418592396099 , 451.7938 , 464.3969
end , d , 196 , 1418592396135 , 453.6519 , 462.4556
end , d , 196 , 1418592396180 , 455.5846 , 460.1458
end , d , 196 , 1418592396214 , 456.5454 , 461.8013
end , d , 196 , 1418592396249 , 456.6477 , 461.9965
end , d , 196 , 1418592396282 , 457.3468 , 461.92
end , d , 196 , 1418592396328 , 458.3291 , 462.1205
end , d , 196 , 1418592396363 , 457.9753 , 462.9902
end , d , 196 , 1418592396397 , 459.4779 , 464.1865
end , d , 196 , 1418592396431 , 458.5238 , 467.2916
end , d , 196 , 1418592396475 , 458.7736 , 470.0185
end , d , 196 , 1418592396511 , 460.5003 , 469.8521
end , d , 196 , 1418592396546 , 460.1964 , 470.2173
end , d , 196 , 1418592396580 , 461.119 , 472.0174
end , d , 196 , 1418592396615 , 460.8277 , 474.6269
end , d , 196 , 1418592396659 , 462.6199 , 474.0918
end , d , 196 , 1418592396694 , 464.2849 , 473.2921
end , d , 196 , 1418592396729 , 464.8303 , 473.4079
end , d , 196 , 1418592396765 , 464.0119 , 474.1129
end , d , 196 , 1418592396799 , 466.0519 , 472.3948
end , d , 196 , 1418592396845 , 466.3516 , 471.5949
end , d , 196 , 1418592396880 , 465.9484 , 469.4904
end , d , 196 , 1418592396915 , 464.7839 , 471.2622
end , d , 196 , 1418592396949 , 463.4772 , 471.724
end , d , 196 , 1418592396993 , 462.7925 , 471.1612
end , d , 196 , 1418592397027 , 460.679 , 473.6798
end , d , 196 , 1418592397063 , 458.3765 , 474.0691
end , d , 196 , 1418592397098 , 457.5923 , 473.4521
end , d , 196 , 1418592397133 , 454.7759 , 473.0291
end , d , 196 , 1418592397177 , 453.3413 , 474.0571
end , d , 196 , 1418592397211 , 453.3994 , 472.1295
end , d , 196 , 1418592397246 , 448.9748 , 474.193
end , d , 196 , 1418592397282 , 448.8766 , 472.9184
end , d , 196 , 1418592397327 , 448.1195 , 474.7012
end , d , 196 , 1418592397361 , 448.1265 , 473.2756
end , d , 196 , 1418592397396 , 448.5508 , 471.5947
end , d , 196 , 1418592397430 , 451.4561 , 470.2965
in , i , 64 , 1418592399175 , 485.2151 , 168.3938
opposing , g , 191 , 1418592399429 , 330.6287 , 414.6846
sleep , l , 242 , 1418592399510 , 460.0327 , 506.8239
them , h , 199 , 1418592399545 , 517.4414 , 425.4547
them , t , 198 , 1418592399581 , 496.5312 , 454.8128
end , d , 196 , 1418592399686 , 461.3966 , 477.0776
end , d , 196 , 1418592399732 , 461.0811 , 478.5397
end , d , 196 , 1418592399767 , 461.123 , 475.864
end , d , 196 , 1418592399802 , 463.5432 , 470.5008
end , d , 196 , 1418592399917 , 466.5951 , 459.8645
end , d , 196 , 1418592399953 , 460.9843 , 452.6683
end , d , 196 , 1418592399987 , 464.1811 , 452.419
end , d , 196 , 1418592400021 , 464.4133 , 450.6422
end , d , 196 , 1418592400066 , 465.1191 , 448.1202
end , d , 196 , 1418592400101 , 462.0929 , 444.1014
end , d , 196 , 1418592400136 , 458.9551 , 446.1437
end , d , 196 , 1418592400170 , 457.614 , 446.4392
end , d , 196 , 1418592400205 , 456.4269 , 445.732
end , d , 196 , 1418592400251 , 456.4142 , 442.9264
end , d , 196 , 1418592400285 , 456.5933 , 440.5675
end , d , 196 , 1418592400321 , 455.4225 , 438.2237
end , d , 196 , 1418592400355 , 454.8348 , 437.7315
end , d , 196 , 1418592400390 , 454.4034 , 440.4392
end , d , 196 , 1418592400436 , 452.1677 , 438.8954
end , d , 196 , 1418592400471 , 453.9001 , 439.5317
end , d , 196 , 1418592400505 , 453.5708 , 440.1284
end , d , 196 , 1418592400540 , 455.9353 , 441.2087
end , d , 196 , 1418592400575 , 456.5444 , 442.6736
end , d , 196 , 1418592400619 , 461.4608 , 439.5621
end , d , 196 , 1418592400655 , 461.9258 , 443.2082
end , d , 196 , 1418592400691 , 464.0781 , 443.0096
end , d , 196 , 1418592400726 , 465.8863 , 442.7506
end , d , 196 , 1418592400771 , 465.7766 , 438.7583
end , d , 196 , 1418592400910 , 467.4695 , 438.7958
end , d , 196 , 1418592401060 , 463.0398 , 438.2911
end , d , 196 , 1418592401096 , 464.8216 , 439.5425
end , d , 196 , 1418592401129 , 465.3475 , 439.0545
end , d , 196 , 1418592401175 , 466.121 , 442.1558
end , d , 196 , 1418592401210 , 464.4781 , 443.1997
end , d , 196 , 1418592401244 , 459.5308 , 444.2247
end , d , 196 , 1418592401279 , 460.5616 , 444.9232
end , d , 196 , 1418592401325 , 465.7477 , 444.7472
say , y , 253 , 1418592401358 , 708.3875 , 508.6176
die , i , 208 , 1418592401393 , 751.3389 , 480.9758
by , y , 237 , 1418592401806 , 333.7281 , 497.6494
by , b , 236 , 1418592401841 , 304.6389 , 522.5022
and , n , 233 , 1418592401876 , 244.9478 , 557.5089
Heart , t , 271 , 1418592401911 , 199.8965 , 581.6278
Heart , r , 270 , 1418592401946 , 176.3073 , 593.4516
Heart , r , 270 , 1418592401991 , 164.8094 , 600.835
Heart , e , 268 , 1418592402026 , 110.9838 , 640.2447
Heart , e , 268 , 1418592402061 , 109.4995 , 623.649
Heart , H , 267 , 1418592402096 , 92.5962 , 632.9197
Heart , t , 271 , 1418592402130 , 202.3152 , 588.3677
by , y , 237 , 1418592402210 , 340.0628 , 540.6398
them , e , 200 , 1418592402245 , 561.144 , 437.8
sleep , p , 245 , 1418592402280 , 532.0878 , 522.0472
die , i , 208 , 1418592402315 , 751.9239 , 479.5183
to , t , 212 , 1418592402395 , 829.2625 , 480.847
to , t , 212 , 1418592402429 , 841.1541 , 475.8007
sleep , s , 215 , 1418592402464 , 923.4503 , 433.1742
sleep , e , 217 , 1418592402510 , 950.1583 , 455.7601
end , d , 260 , 1418592402544 , 889.0969 , 502.1151
end , d , 260 , 1418592402579 , 888.32 , 514.5233
end , d , 260 , 1418592402613 , 899.6033 , 509.9195
end , d , 260 , 1418592402658 , 898.2501 , 511.0731
end , e , 258 , 1418592402913 , 840.9447 , 533.1093
we , w , 255 , 1418592402948 , 774.6588 , 548.2831
and , a , 279 , 1418592403017 , 382.7209 , 606.4844
ache , e , 276 , 1418592403063 , 304.7765 , 623.2004
ache , c , 274 , 1418592403098 , 257.6301 , 639.8315
That , t , 315 , 1418592403134 , 62.8447 , 684.4526
That , a , 314 , 1418592403169 , 52.8778 , 708.0909
That , a , 314 , 1418592403203 , 40.6436 , 714.4436
That , a , 314 , 1418592403248 , 54.5283 , 698.879
That , a , 314 , 1418592403283 , 51.1007 , 702.5197
That , h , 313 , 1418592403317 , 30.5037 , 711.9702
That , h , 313 , 1418592403351 , 32.956 , 707.1143
That , a , 314 , 1418592403397 , 38.9612 , 703.2041
That , a , 314 , 1418592403433 , 42.1418 , 701.5264
sleep , l , 242 , 1418592403467 , 466.9536 , 490.0744
of , f , 110 , 1418592403502 , 542.469 , 228.9559
of , f , 110 , 1418592403537 , 549.3042 , 224.0137
of , f , 110 , 1418592403581 , 547.3735 , 247.8311
of , o , 109 , 1418592403616 , 533.7966 , 259.6286
against , t , 155 , 1418592403651 , 517.5456 , 316.4302
against , s , 154 , 1418592403685 , 493.8257 , 322.3676
the , h , 68 , 1418592403720 , 587.8832 , 179.7183
of , f , 110 , 1418592403765 , 540.8795 , 249.2441
against , t , 155 , 1418592403801 , 524.3146 , 342.4767
against , t , 155 , 1418592403836 , 524.4037 , 324.4462
to , t , 248 , 1418592403916 , 591.1503 , 520.8498
die , d , 207 , 1418592403985 , 730.6275 , 455.8091
die , d , 207 , 1418592404020 , 717.8507 , 472.0734
die , d , 207 , 1418592404055 , 731.977 , 459.8606
die , i , 208 , 1418592404099 , 746.6309 , 440.8186
die , d , 207 , 1418592404134 , 718.4626 , 403.6948
say , a , 252 , 1418592404169 , 696.3721 , 509.7517
die , d , 207 , 1418592404204 , 726.6879 , 477.7253
die , d , 207 , 1418592404238 , 709.6295 , 468.5054
say , a , 252 , 1418592404321 , 697.6294 , 494.7719
troubles , l , 171 , 1418592404356 , 916.0763 , 373.8247
sleep , s , 215 , 1418592404390 , 919.0261 , 459.612
sleep , s , 215 , 1418592404424 , 915.0242 , 427.7398
sleep , s , 215 , 1418592404470 , 915.8173 , 395.1371
sleep , s , 215 , 1418592404505 , 915.603 , 397.1168
to , o , 213 , 1418592404692 , 870.4952 , 410.3703
troubles , b , 170 , 1418592404761 , 882.973 , 358.8686
thousand , n , 293 , 1418592404795 , 727.4332 , 577.032
of , f , 164 , 1418592405617 , 738.3009 , 385.8158
of , f , 164 , 1418592405652 , 754.4518 , 390.3003
of , o , 163 , 1418592405722 , 713.5981 , 341.3495
Sea , a , 161 , 1418592405836 , 663.0461 , 373.6019
outrageous , a , 116 , 1418592405871 , 686.9471 , 256.1985
outrageous , r , 115 , 1418592405905 , 675.7665 , 251.0598
outrageous , r , 115 , 1418592405950 , 660.0583 , 273.1619
Sea , e , 160 , 1418592405985 , 648.5189 , 310.8329
Sea , a , 161 , 1418592406020 , 660.9378 , 325.8793

NEXT TEST :2

