troubles , r , 167 , 1418351660284 , 808.9231 , 384.4247
cruèl , r , 217 , 1418351719616 , 574.4102 , 450.0858
cruèl , r , 217 , 1418351719651 , 568.8896 , 448.2036
cruèl , c , 216 , 1418351719686 , 563.6024 , 446.6489
cruèl , c , 216 , 1418351719720 , 558.4066 , 445.3754
cruèl , c , 216 , 1418351719766 , 550.5547 , 442.8806
cruèl , c , 216 , 1418351719802 , 543.2067 , 441.7324
you , u , 214 , 1418351719987 , 512.8926 , 429.939
you , u , 214 , 1418351720022 , 507.0178 , 427.1774
you , u , 214 , 1418351720057 , 499.8688 , 426.3405
you , u , 214 , 1418351720091 , 492.02 , 426.3739
you , o , 213 , 1418351720137 , 484.6219 , 424.6155
you , o , 213 , 1418351720171 , 476.347 , 424.0552
you , o , 213 , 1418351720206 , 468.5207 , 421.9219
you , y , 212 , 1418351720240 , 461.7788 , 419.8951
you , y , 212 , 1418351720275 , 455.5355 , 419.1103
hearts , s , 209 , 1418351720355 , 385.8309 , 405.8792
hearts , s , 209 , 1418351720390 , 374.3908 , 404.6946
hearts , s , 209 , 1418351720424 , 381.2285 , 402.4
hearts , s , 209 , 1418351720460 , 381.7493 , 407.3453
hearts , s , 209 , 1418351720505 , 382.5561 , 407.9086
hearts , s , 209 , 1418351720540 , 380.2691 , 412.9777
hearts , s , 209 , 1418351720575 , 381.1658 , 414.0714
hearts , s , 209 , 1418351720610 , 381.4388 , 414.3779
hearts , s , 209 , 1418351720645 , 382.6363 , 413.589
hearts , s , 209 , 1418351720691 , 383.4222 , 413.4956
hearts , s , 209 , 1418351720726 , 385.5011 , 412.5583
hearts , s , 209 , 1418351720767 , 386.1675 , 410.6185
hearts , s , 209 , 1418351720802 , 386.3441 , 411.2332
hearts , s , 209 , 1418351720839 , 387.1998 , 413.1877
hearts , s , 209 , 1418351720874 , 386.5087 , 414.9207
hearts , s , 209 , 1418351720910 , 386.4537 , 415.1123
hearts , s , 209 , 1418351720944 , 387.4351 , 417.7353
hearts , s , 209 , 1418351720979 , 388.24 , 419.1087
hearts , s , 209 , 1418351721024 , 389.7685 , 418.63
hearts , s , 209 , 1418351721059 , 389.9539 , 419.2385
hearts , s , 209 , 1418351721093 , 389.3218 , 417.3584
hearts , s , 209 , 1418351721128 , 387.6132 , 416.8898
hearts , s , 209 , 1418351721173 , 388.0276 , 416.403
hearts , s , 209 , 1418351721206 , 386.3882 , 415.7407
hearts , s , 209 , 1418351721240 , 385.2952 , 416.8504
hearts , s , 209 , 1418351721275 , 383.6364 , 416.5318
hearts , s , 209 , 1418351721320 , 383.7478 , 415.8198
hearts , s , 209 , 1418351721355 , 383.1615 , 416.5894
hearts , s , 209 , 1418351721390 , 383.2162 , 418.5806
hearts , s , 209 , 1418351721426 , 383.5859 , 420.1527
hearts , s , 209 , 1418351721461 , 383.5341 , 420.6212
hearts , s , 209 , 1418351721505 , 383.4696 , 420.93
hearts , s , 209 , 1418351721541 , 382.1024 , 422.8432
hearts , s , 209 , 1418351721576 , 382.8506 , 425.0564
hearts , s , 209 , 1418351721611 , 381.6352 , 425.1108
hearts , s , 209 , 1418351721645 , 381.4385 , 425.2597
hearts , s , 209 , 1418351721691 , 381.6112 , 423.7736
hearts , s , 209 , 1418351721726 , 381.7561 , 425.5229
hearts , s , 209 , 1418351721761 , 380.7209 , 425.26
hearts , s , 209 , 1418351721796 , 380.2838 , 425.5014
hearts , s , 209 , 1418351721831 , 378.777 , 425.5864
hearts , s , 209 , 1418351721876 , 378.3864 , 425.0543
hearts , s , 209 , 1418351721912 , 377.8962 , 424.1109
hearts , s , 209 , 1418351721947 , 377.2549 , 423.7481
hearts , s , 209 , 1418351721981 , 377.5926 , 421.4704
hearts , s , 209 , 1418351722015 , 375.6594 , 419.7702
hearts , s , 209 , 1418351722061 , 374.3543 , 419.109
hearts , s , 209 , 1418351722096 , 374.046 , 419.6188
hearts , t , 208 , 1418351722131 , 371.6972 , 419.9594
hearts , t , 208 , 1418351722165 , 369.878 , 419.4213
hearts , t , 208 , 1418351722199 , 366.9079 , 419.6466
hearts , t , 208 , 1418351722245 , 365.2506 , 416.1781
hearts , t , 208 , 1418351722279 , 365.0136 , 414.6051
hearts , t , 208 , 1418351722315 , 363.3212 , 412.4847
hearts , t , 208 , 1418351722355 , 361.9773 , 410.9486
hearts , t , 208 , 1418351722389 , 361.4766 , 411.4033
hearts , t , 208 , 1418351722425 , 360.2008 , 409.1662
hearts , t , 208 , 1418351722461 , 360.2834 , 409.018
hearts , t , 208 , 1418351722496 , 358.8722 , 407.0277
hearts , t , 208 , 1418351722542 , 357.2884 , 405.506
hearts , t , 208 , 1418351722577 , 357.9508 , 404.3921
hearts , t , 208 , 1418351722612 , 355.6327 , 402.0402
hearts , t , 208 , 1418351722648 , 356.2619 , 398.6273
hearts , t , 208 , 1418351722683 , 357.0038 , 396.4792
hearts , t , 208 , 1418351722718 , 357.4436 , 394.1937
hearts , t , 208 , 1418351722771 , 356.7126 , 393.1672
hearts , t , 208 , 1418351722795 , 356.4516 , 393.0178
hearts , t , 208 , 1418351722830 , 354.4097 , 391.6708
you , u , 149 , 1418351723689 , 347.708 , 380.2255
you , u , 149 , 1418351723725 , 347.2922 , 380.0717
you , u , 149 , 1418351723760 , 347.448 , 376.9184
you , u , 149 , 1418351723795 , 345.6812 , 373.7673
you , u , 149 , 1418351723830 , 344.8412 , 371.4006
you , u , 149 , 1418351723874 , 343.3756 , 368.2523
you , u , 149 , 1418351723909 , 342.8852 , 367.7298
you , u , 149 , 1418351723944 , 341.7302 , 367.2825
you , u , 149 , 1418351723979 , 341.5314 , 368.3616
you , u , 149 , 1418351724014 , 340.7985 , 367.2634
you , u , 149 , 1418351724058 , 339.2561 , 365.8052
you , u , 149 , 1418351724095 , 338.4677 , 367.8911
you , u , 149 , 1418351724130 , 338.6814 , 368.97
you , u , 149 , 1418351724164 , 337.6661 , 370.3509
you , u , 149 , 1418351724200 , 336.4601 , 371.5833
you , u , 149 , 1418351724245 , 336.283 , 371.495
you , u , 149 , 1418351724280 , 336.0145 , 370.8823
you , u , 149 , 1418351724316 , 337.3383 , 369.9377
you , u , 149 , 1418351724352 , 338.6256 , 370.7437
you , u , 149 , 1418351724387 , 338.4006 , 372.15
captive , e , 106 , 1418351724422 , 440.4203 , 244.2977
bonds , d , 111 , 1418351724535 , 556.0074 , 237.3722
his , h , 114 , 1418351724614 , 632.326 , 232.57
chariot , c , 118 , 1418351724754 , 725.2989 , 226.0905
chariot , h , 119 , 1418351724799 , 745.4091 , 241.7271
chariot , h , 119 , 1418351724834 , 732.8 , 243.3533
chariot , h , 119 , 1418351724869 , 732.3474 , 242.3855
his , s , 116 , 1418351724938 , 664.5933 , 235.7808
his , i , 115 , 1418351724984 , 646.0502 , 231.0544
his , h , 114 , 1418351725018 , 628.1024 , 232.5706
his , h , 114 , 1418351725052 , 617.9324 , 234.3616
stones , e , 155 , 1418351725201 , 489.0805 , 337.121
stones , t , 152 , 1418351725464 , 418.2474 , 385.4097
stones , t , 152 , 1418351725534 , 407.7061 , 387.0144
stones , t , 152 , 1418351725569 , 410.4427 , 390.6308
not , t , 247 , 1418351726017 , 270.3954 , 532.8912
Have , H , 278 , 1418351726051 , -219.8873 , 575.2728
Knew , e , 238 , 1418351726085 , 59.9139 , 522.8755
you , o , 242 , 1418351726130 , 151.3402 , 502.9939
not , n , 245 , 1418351726166 , 205.0738 , 494.9775
not , o , 246 , 1418351726201 , 240.1932 , 490.3534
Pompey , p , 252 , 1418351726236 , 372.5972 , 504.8207
Pompey , m , 251 , 1418351726271 , 357.0371 , 514.6641
Pompey , o , 250 , 1418351726317 , 343.8894 , 508.6119
Pompey , o , 250 , 1418351726364 , 335.045 , 512.0749
Pompey , o , 250 , 1418351726493 , 333.9179 , 509.6844
Pompey , m , 251 , 1418351726537 , 352.519 , 506.2659
Pompey , m , 251 , 1418351726572 , 359.8875 , 506.325
Pompey , m , 251 , 1418351726607 , 367.0924 , 504.0642
Pompey , m , 251 , 1418351726641 , 365.0119 , 508.4688
Pompey , m , 251 , 1418351726687 , 364.3582 , 517.5974
Pompey , m , 251 , 1418351726721 , 363.2549 , 523.679
Pompey , m , 251 , 1418351726757 , 362.1183 , 526.9952
Pompey , m , 251 , 1418351726791 , 362.6302 , 531.8251
Pompey , m , 251 , 1418351726836 , 361.6222 , 533.9022
Pompey , m , 251 , 1418351726870 , 362.4484 , 537.2211
Pompey , m , 251 , 1418351726906 , 361.9868 , 541.6816
Pompey , m , 251 , 1418351726940 , 362.2444 , 544.388
windows , s , 345 , 1418351726975 , 484.5251 , 673.5296
Pompey , p , 252 , 1418351727020 , 383.0409 , 566.3784
climbed , e , 292 , 1418351727054 , 335.7452 , 585.3065
climbed , e , 292 , 1418351727089 , 327.0204 , 587.6453
climbed , b , 291 , 1418351727122 , 319.8008 , 589.8536
climbed , b , 291 , 1418351727167 , 315.9199 , 587.9057
climbed , b , 291 , 1418351727203 , 313.3098 , 600.2653
up , p , 296 , 1418351727238 , 432.6374 , 658.1715
climbed , d , 293 , 1418351727273 , 368.0819 , 633.0644
climbed , d , 293 , 1418351727363 , 356.4624 , 636.2465
climbed , e , 292 , 1418351727492 , 338.8206 , 630.9629
climbed , e , 292 , 1418351727536 , 330.3547 , 629.5443
climbed , e , 292 , 1418351727571 , 334.4786 , 635.8237
climbed , e , 292 , 1418351727606 , 326.5714 , 631.5692
climbed , b , 291 , 1418351727641 , 318.6018 , 628.7361
climbed , b , 291 , 1418351727685 , 315.8041 , 622.9991
climbed , b , 291 , 1418351727720 , 313.1389 , 621.0953
climbed , b , 291 , 1418351727754 , 312.74 , 619.6122
climbed , b , 291 , 1418351727789 , 312.5923 , 619.3278
climbed , b , 291 , 1418351727834 , 312.6331 , 618.5059
climbed , b , 291 , 1418351727868 , 311.9178 , 618.4019
climbed , b , 291 , 1418351727904 , 312.0311 , 618.0986
climbed , b , 291 , 1418351727938 , 311.0475 , 617.8989
climbed , b , 291 , 1418351727974 , 309.7207 , 616.5167
climbed , b , 291 , 1418351728019 , 309.264 , 617.5829
climbed , b , 291 , 1418351728054 , 310.6113 , 617.0229
climbed , b , 291 , 1418351728090 , 309.6489 , 615.8875
climbed , b , 291 , 1418351728125 , 309.29 , 614.8493
climbed , b , 291 , 1418351728160 , 308.7584 , 612.9837
climbed , b , 291 , 1418351728196 , 306.2128 , 612.2744
climbed , b , 291 , 1418351728241 , 311.6875 , 615.6136
climbed , b , 291 , 1418351728276 , 312.2874 , 614.1419
climbed , b , 291 , 1418351728310 , 316.3577 , 616.4598
climbed , b , 291 , 1418351728355 , 315.7643 , 616.2233
climbed , b , 291 , 1418351728494 , 319.7122 , 618.5018
climbed , b , 291 , 1418351728528 , 320.2332 , 618.1203
climbed , b , 291 , 1418351728573 , 317.0594 , 616.8282
climbed , b , 291 , 1418351728608 , 317.1435 , 615.9902
climbed , b , 291 , 1418351728643 , 315.702 , 616.1071
climbed , b , 291 , 1418351728679 , 313.5404 , 616.0041
climbed , b , 291 , 1418351728713 , 313.4496 , 616.5779
climbed , b , 291 , 1418351728760 , 311.1399 , 615.9072
climbed , b , 291 , 1418351728794 , 308.9505 , 615.9106
climbed , b , 291 , 1418351728829 , 307.8686 , 615.8451
climbed , b , 291 , 1418351728863 , 302.1263 , 615.0712
climbed , b , 291 , 1418351728898 , 300.2547 , 614.4596
climbed , m , 290 , 1418351728944 , 297.0581 , 614.348
climbed , m , 290 , 1418351728979 , 294.8361 , 614.8074
climbed , m , 290 , 1418351729014 , 291.7369 , 614.8455
climbed , m , 290 , 1418351729049 , 290.5029 , 614.8952
climbed , m , 290 , 1418351729085 , 289.2855 , 614.3458
climbed , m , 290 , 1418351729129 , 288.3441 , 615.0719
climbed , m , 290 , 1418351729164 , 286.6943 , 614.7205
climbed , m , 290 , 1418351729199 , 287.4097 , 615.9037
climbed , m , 290 , 1418351729235 , 285.9716 , 614.5601
climbed , m , 290 , 1418351729269 , 287.2191 , 613.2557
climbed , m , 290 , 1418351729314 , 285.9949 , 613.0233
hearts , e , 205 , 1418351729386 , 299.7197 , 406.6861
hearts , h , 204 , 1418351729421 , 275.6627 , 406.3953
hearts , h , 204 , 1418351729456 , 269.173 , 423.0207
hearts , h , 204 , 1418351729491 , 271.2819 , 419.2601
hearts , h , 204 , 1418351729536 , 272.5168 , 419.2011
hearts , h , 204 , 1418351729570 , 271.7755 , 420.1736
hearts , h , 204 , 1418351729606 , 271.4955 , 419.8943
hearts , h , 204 , 1418351729640 , 271.8941 , 423.6471
hearts , h , 204 , 1418351729684 , 271.7938 , 424.9043
hearts , h , 204 , 1418351729719 , 271.995 , 428.1779
hearts , h , 204 , 1418351729753 , 272.367 , 430.2747
hearts , h , 204 , 1418351729787 , 275.6409 , 427.8415
hearts , e , 205 , 1418351729833 , 276.0193 , 425.7393
hearts , h , 204 , 1418351729868 , 274.2499 , 418.9604
hearts , e , 205 , 1418351729904 , 276.6307 , 418.9818
hearts , e , 205 , 1418351729939 , 277.9365 , 416.4934
hearts , e , 205 , 1418351729973 , 279.56 , 420.8619
climbed , d , 293 , 1418351730018 , 359.8789 , 592.6252
climbed , b , 291 , 1418351730053 , 320.8137 , 583.7122
Pompey , P , 249 , 1418351730088 , 317.9119 , 545.015
Pompey , o , 250 , 1418351730123 , 327.7063 , 541.2405
Pompey , o , 250 , 1418351730157 , 328.4764 , 534.7725
Pompey , P , 249 , 1418351730203 , 319.3792 , 525.9583
Pompey , P , 249 , 1418351730237 , 315.6983 , 525.2651
Pompey , P , 249 , 1418351730272 , 315.0398 , 527.886
Pompey , P , 249 , 1418351730306 , 320.5733 , 527.0199
Pompey , P , 249 , 1418351730353 , 322.7971 , 528.2187
Pompey , P , 249 , 1418351730388 , 321.1254 , 528.9495
Pompey , P , 249 , 1418351730422 , 320.5942 , 531.835
Pompey , P , 249 , 1418351730456 , 320.8812 , 529.9741
Pompey , P , 249 , 1418351730490 , 322.4308 , 531.9124
Pompey , P , 249 , 1418351730536 , 320.1143 , 531.1191
Pompey , P , 249 , 1418351730571 , 323.0038 , 535.0895
Pompey , P , 249 , 1418351730606 , 321.6383 , 536.7998
Pompey , P , 249 , 1418351730641 , 320.2711 , 538.611
Pompey , P , 249 , 1418351730676 , 320.1393 , 540.5246
Pompey , P , 249 , 1418351730720 , 318.0258 , 542.2729
Pompey , P , 249 , 1418351730755 , 316.8416 , 543.5469
Pompey , P , 249 , 1418351730791 , 315.5347 , 544.9785
Pompey , P , 249 , 1418351730825 , 312.7554 , 546.2026
Pompey , P , 249 , 1418351730860 , 310.5956 , 546.3077
Pompey , P , 249 , 1418351730906 , 308.0838 , 547.371
Pompey , P , 249 , 1418351730940 , 305.2226 , 548.541
Pompey , P , 249 , 1418351730976 , 302.4356 , 548.457
Pompey , P , 249 , 1418351731011 , 300.1963 , 549.0485
Pompey , P , 249 , 1418351731240 , 302.6381 , 536.0562
Pompey , P , 249 , 1418351731274 , 304.6858 , 533.8696
Pompey , P , 249 , 1418351731309 , 308.0822 , 528.4143
Pompey , P , 249 , 1418351731344 , 301.5654 , 528.2647
not , t , 247 , 1418351731527 , 273.2155 , 526.7723
not , t , 247 , 1418351731573 , 268.4505 , 528.4283
a , a , 262 , 1418351731608 , 621.2726 , 488.5534
Many , n , 259 , 1418351731642 , 559.35 , 500.5916
Many , y , 260 , 1418351731678 , 570.0305 , 494.5014
Many , M , 257 , 1418351731712 , 504.9665 , 487.9639
Pompey , p , 252 , 1418351731826 , 388.204 , 490.3306
Pompey , p , 252 , 1418351731861 , 389.7731 , 504.8962
Pompey , p , 252 , 1418351731906 , 389.5916 , 506.7723
Pompey , p , 252 , 1418351731941 , 391.7801 , 507.3496
Pompey , e , 253 , 1418351731977 , 405.8337 , 498.1794
Pompey , e , 253 , 1418351732012 , 415.3474 , 489.9153
Pompey , y , 254 , 1418351732046 , 421.5475 , 487.884
Pompey , e , 253 , 1418351732082 , 419.5934 , 488.1281
hearts , s , 209 , 1418351732198 , 388.6717 , 470.3027
hearts , s , 209 , 1418351732233 , 381.7564 , 468.4482
hearts , s , 209 , 1418351732269 , 375.3897 , 465.694
hearts , s , 209 , 1418351732314 , 375.6935 , 464.2304
hearts , s , 209 , 1418351732354 , 373.2948 , 462.4026
hearts , t , 208 , 1418351732379 , 370.3643 , 458.6044
hearts , t , 208 , 1418351732415 , 368.2579 , 454.9423
hearts , t , 208 , 1418351732461 , 363.9457 , 452.708
hearts , t , 208 , 1418351732496 , 361.3155 , 451.5184
hearts , t , 208 , 1418351732531 , 359.1224 , 449.8302
hearts , t , 208 , 1418351732566 , 356.8675 , 448.8881
hearts , t , 208 , 1418351732601 , 356.2003 , 448.9751
hearts , t , 208 , 1418351732647 , 355.9901 , 448.9861
hearts , t , 208 , 1418351732682 , 355.6032 , 448.1653
hearts , t , 208 , 1418351732716 , 360.8422 , 448.3071
hearts , t , 208 , 1418351732757 , 369.458 , 446.8704
cruèl , c , 216 , 1418351732828 , 548.1689 , 411.1853
cruèl , c , 216 , 1418351732863 , 545.6354 , 405.3705
stones , o , 153 , 1418351733635 , 440.9591 , 365.6707
stones , s , 156 , 1418351733680 , 500.4859 , 325.4869
stones , s , 156 , 1418351733715 , 499.7822 , 348.2497
stones , s , 156 , 1418351733751 , 500.8484 , 351.2762
stones , s , 156 , 1418351733786 , 503.2521 , 355.7428
stones , s , 156 , 1418351733821 , 505.5721 , 354.6349
stones , s , 156 , 1418351733865 , 505.8556 , 353.0985
stones , s , 156 , 1418351733900 , 504.9391 , 354.1654
stones , s , 156 , 1418351733935 , 506.1471 , 357.4089
stones , s , 156 , 1418351733970 , 507.4734 , 359.3963
stones , s , 156 , 1418351734014 , 501.5159 , 355.6559
stones , s , 156 , 1418351734049 , 502.78 , 353.3068
stones , s , 156 , 1418351734085 , 501.2875 , 354.2763
stones , s , 156 , 1418351734120 , 502.1496 , 355.1997
stones , s , 156 , 1418351734156 , 502.4917 , 357.7895
stones , s , 156 , 1418351734190 , 501.2823 , 356.7517
stones , s , 156 , 1418351734238 , 504.4683 , 357.1806
stones , s , 156 , 1418351734272 , 504.8534 , 357.7928
stones , s , 156 , 1418351734307 , 504.3747 , 360.5811
stones , s , 156 , 1418351734355 , 504.952 , 363.3462
stones , s , 156 , 1418351734380 , 505.2958 , 363.1575
stones , s , 156 , 1418351734415 , 505.337 , 364.5313
stones , s , 156 , 1418351734450 , 503.4332 , 365.2887
stones , s , 156 , 1418351734495 , 502.056 , 370.7861
stones , s , 156 , 1418351734530 , 499.167 , 372.7813
stones , s , 156 , 1418351734564 , 496.7781 , 375.361
stones , s , 156 , 1418351734598 , 494.4112 , 378.7995
stones , s , 156 , 1418351734642 , 492.2925 , 380.4942
stones , e , 155 , 1418351734676 , 490.8314 , 382.223
stones , e , 155 , 1418351734711 , 487.6844 , 386.0617
stones , e , 155 , 1418351734756 , 484.5231 , 387.3491
you , o , 213 , 1418351734897 , 481.2985 , 391.218
cruèl , è , 219 , 1418351734931 , 626.5846 , 451.7238
cruèl , è , 219 , 1418351734975 , 624.3309 , 456.6676
cruèl , è , 219 , 1418351735010 , 629.1777 , 459.4842
cruèl , è , 219 , 1418351735044 , 631.5742 , 461.2528
cruèl , è , 219 , 1418351735089 , 631.9856 , 460.0023
cruèl , è , 219 , 1418351735123 , 627.6771 , 462.3793
cruèl , è , 219 , 1418351735159 , 626.1041 , 464.2888
cruèl , è , 219 , 1418351735193 , 627.7319 , 462.3478
cruèl , è , 219 , 1418351735229 , 627.6345 , 464.9909
cruèl , è , 219 , 1418351735275 , 627.0452 , 464.6573
cruèl , è , 219 , 1418351735310 , 626.666 , 466.4013
cruèl , è , 219 , 1418351735350 , 627.0523 , 467.7381
for , r , 194 , 1418351735935 , 611.5029 , 454.7317
for , r , 194 , 1418351735970 , 607.5563 , 450.5469
for , r , 194 , 1418351736005 , 606.6481 , 446.0733
sisters , s , 159 , 1418351736052 , 770.2736 , 364.6795
sisters , s , 159 , 1418351736123 , 762.1621 , 374.8788
sisters , s , 159 , 1418351736158 , 761.2855 , 386.0946
sisters , s , 159 , 1418351736193 , 769.3697 , 374.8345
sisters , s , 159 , 1418351736229 , 769.9899 , 374.7343
sisters , s , 159 , 1418351736264 , 776.4296 , 372.9297
sisters , s , 159 , 1418351736310 , 775.4103 , 372.8423
I , I , 109 , 1418351736347 , 586.3729 , 219.825
I , I , 109 , 1418351736534 , 579.8635 , 222.0332
