of , o , 109 , 1418327508794 , 523.2685 , 268.0305
question , e , 35 , 1418327532338 , 815.2234 , 57.3362
question , e , 35 , 1418327532372 , 822.3612 , 60.4897
nhj , t , 29 , 1418327532451 , 662.0519 , 64.338
the , t , 29 , 1418327532486 , 663.5701 , 47.6499
the , t , 29 , 1418327532556 , 660.0784 , 34.4883
the , t , 29 , 1418327532706 , 660.1078 , 30.3329
the , t , 29 , 1418327532857 , 668.0896 , 27.016
the , t , 29 , 1418327532891 , 677.8287 , 25.4039
the , h , 30 , 1418327532927 , 686.0782 , 25.9057
the , h , 30 , 1418327532962 , 693.7021 , 25.265
the , h , 30 , 1418327532996 , 701.6169 , 25.3526
the , e , 31 , 1418327533041 , 708.8502 , 25.6027
the , e , 31 , 1418327533076 , 713.6162 , 25.315
the , e , 31 , 1418327533111 , 718.0724 , 26.4026
the , e , 31 , 1418327533146 , 722.4903 , 25.5307
the , e , 31 , 1418327533182 , 727.5201 , 27.0351
the , e , 31 , 1418327533227 , 731.364 , 28.6097
be , e , 20 , 1418327533262 , 445.2345 , 68.8994
to , o , 17 , 1418327533297 , 390.8118 , 84.7751
to , o , 17 , 1418327533332 , 393.3363 , 81.9647
to , o , 17 , 1418327533367 , 393.2168 , 88.4112
to , o , 17 , 1418327533414 , 381.7404 , 92.2015
not , t , 14 , 1418327533447 , 301.5896 , 99.2486
Whether , W , 44 , 1418327533481 , 10.6008 , 133.3327
Whether , h , 45 , 1418327533516 , 16.8144 , 134.0539
Whether , W , 44 , 1418327533561 , 11.6258 , 137.9288
Whether , h , 45 , 1418327533596 , 17.1125 , 141.801
Whether , h , 45 , 1418327533631 , 16.3048 , 141.1049
Whether , h , 45 , 1418327533665 , 16.3182 , 140.3194
Whether , h , 45 , 1418327533701 , 17.0112 , 142.1719
Whether , h , 45 , 1418327533746 , 17.5507 , 140.4617
tis , t , 53 , 1418327533780 , 211.816 , 120.4366
tis , s , 55 , 1418327533816 , 252.5643 , 135.3705
tis , i , 54 , 1418327533851 , 246.3655 , 138.177
tis , i , 54 , 1418327533885 , 241.4503 , 140.3724
tis , i , 54 , 1418327533931 , 242.5217 , 134.6299
tis , i , 54 , 1418327533966 , 245.1648 , 133.5604
tis , i , 54 , 1418327534000 , 245.4753 , 131.3763
tis , s , 55 , 1418327534036 , 266.5834 , 134.8338
in , n , 65 , 1418327534071 , 509.8681 , 138.2314
in , n , 65 , 1418327534117 , 512.4507 , 132.8774
in , n , 65 , 1418327534152 , 514.3148 , 145.7611
in , n , 65 , 1418327534188 , 514.7952 , 144.3827
in , n , 65 , 1418327534223 , 514.4008 , 138.2922
in , n , 65 , 1418327534257 , 512.0672 , 137.0117
in , n , 65 , 1418327534293 , 512.0449 , 139.2735
question , e , 35 , 1418327534337 , 805.6384 , 106.7172
suffer , s , 79 , 1418327534705 , 829.3896 , 115.8121
Slings , S , 91 , 1418327534774 , 93.6663 , 224.4926
Whether , t , 47 , 1418327534927 , 74.2083 , 206.0714
Whether , t , 47 , 1418327534962 , 66.5604 , 194.5127
Slings , S , 91 , 1418327534995 , 85.8677 , 220.6258
Slings , i , 93 , 1418327535076 , 137.4183 , 215.3909
tis , t , 53 , 1418327535145 , 204.4686 , 205.2338
tis , t , 53 , 1418327535190 , 222.8949 , 203.0743
Nobler , N , 57 , 1418327535225 , 315.4114 , 187.4791
Nobler , N , 57 , 1418327535259 , 302.6891 , 187.4305
Nobler , N , 57 , 1418327535294 , 303.5022 , 193.4479
Nobler , l , 60 , 1418327535328 , 381.8132 , 205.1937
in , i , 64 , 1418327535410 , 480.8999 , 203.234
Nobler , b , 59 , 1418327535479 , 371.3944 , 189.2533
Nobler , b , 59 , 1418327535514 , 370.3847 , 184.843
Nobler , b , 59 , 1418327535560 , 365.446 , 194.935
Nobler , b , 59 , 1418327535595 , 362.8563 , 193.1111
Nobler , b , 59 , 1418327535629 , 363.2152 , 194.8412
Nobler , b , 59 , 1418327535665 , 364.291 , 199.0852
Nobler , b , 59 , 1418327535699 , 363.0546 , 196.0716
Nobler , b , 59 , 1418327535745 , 362.314 , 196.9313
Nobler , o , 58 , 1418327535781 , 345.6255 , 198.9573
Slings , s , 96 , 1418327535816 , 222.3957 , 210.16
tis , i , 54 , 1418327535850 , 231.348 , 201.6845
Slings , s , 96 , 1418327535894 , 226.9886 , 208.5898
tis , i , 54 , 1418327536034 , 228.4405 , 206.2899
tis , i , 54 , 1418327536069 , 229.628 , 204.0628
Slings , s , 96 , 1418327536114 , 224.6353 , 207.9715
Slings , s , 96 , 1418327536150 , 224.5875 , 213.9958
Slings , s , 96 , 1418327536185 , 220.7762 , 212.714
Slings , s , 96 , 1418327536220 , 221.7902 , 215.3014
Slings , s , 96 , 1418327536254 , 219.3585 , 215.5923
Slings , s , 96 , 1418327536301 , 218.8296 , 217.7084
Slings , s , 96 , 1418327536336 , 217.6758 , 219.0086
Slings , s , 96 , 1418327536371 , 216.3537 , 219.8995
Slings , s , 96 , 1418327536406 , 215.3895 , 220.1757
Slings , s , 96 , 1418327536441 , 215.4115 , 220.3399
Slings , s , 96 , 1418327536475 , 215.1641 , 220.2998
Slings , s , 96 , 1418327536520 , 216.2541 , 220.1315
Slings , s , 96 , 1418327536554 , 217.7075 , 219.67
Slings , s , 96 , 1418327536590 , 219.1636 , 219.0537
Slings , s , 96 , 1418327536624 , 221.2206 , 220.3946
Slings , s , 96 , 1418327536669 , 222.709 , 220.7045
Slings , s , 96 , 1418327536704 , 223.2576 , 221.435
Slings , s , 96 , 1418327536739 , 224.074 , 222.4511
Slings , s , 96 , 1418327536775 , 224.414 , 225.6707
Slings , s , 96 , 1418327536809 , 226.3271 , 227.8938
Slings , s , 96 , 1418327536857 , 226.8426 , 229.5253
Slings , s , 96 , 1418327536892 , 227.418 , 229.8499
Slings , s , 96 , 1418327537111 , 208.4892 , 210.9839
Slings , s , 96 , 1418327537145 , 218.4651 , 219.5474
Slings , s , 96 , 1418327537189 , 223.1487 , 223.0922
Slings , s , 96 , 1418327537225 , 223.4213 , 226.7697
Slings , s , 96 , 1418327537260 , 218.2644 , 225.3803
Slings , s , 96 , 1418327537295 , 219.1733 , 222.368
Slings , s , 96 , 1418327537330 , 223.4787 , 207.1748
Slings , s , 96 , 1418327537373 , 222.9808 , 213.184
Slings , s , 96 , 1418327537407 , 225.0394 , 211.836
Slings , s , 96 , 1418327537443 , 224.8783 , 219.9255
Slings , s , 96 , 1418327537478 , 227.4696 , 225.4641
Slings , s , 96 , 1418327537513 , 226.7446 , 225.2347
The , T , 87 , 1418327538624 , -22.7779 , 222.1859
The , T , 87 , 1418327538668 , 10.4185 , 231.1203
The , T , 87 , 1418327538703 , 7.5434 , 229.3351
The , T , 87 , 1418327538739 , 5.8078 , 230.3954
The , T , 87 , 1418327538774 , 2.191 , 234.4438
The , T , 87 , 1418327538808 , 2.9376 , 232.8593
The , T , 87 , 1418327538855 , -4.2286 , 231.2196
The , T , 87 , 1418327538889 , -4.9849 , 230.3273
The , T , 87 , 1418327538923 , -6.6939 , 232.4552
The , T , 87 , 1418327538959 , -7.2857 , 234.3594
The , T , 87 , 1418327538994 , -8.5261 , 234.0186
The , T , 87 , 1418327539038 , -10.4096 , 234.5138
The , T , 87 , 1418327539072 , -9.4104 , 236.2447
The , T , 87 , 1418327539107 , -11.4739 , 236.0882
The , T , 87 , 1418327539144 , -12.0353 , 236.4384
The , T , 87 , 1418327539178 , -11.6231 , 237.7635
The , T , 87 , 1418327539224 , -11.4313 , 238.1465
nhj , a , 98 , 1418327539259 , 253.4322 , 250.7262
and , a , 98 , 1418327539294 , 259.8433 , 277.5075
and , a , 98 , 1418327539329 , 255.4327 , 255.1472
and , a , 98 , 1418327539363 , 253.6005 , 257.8692
and , a , 98 , 1418327539665 , 252.5189 , 261.2667
Arrows , o , 105 , 1418327539701 , 443.892 , 274.6226
Arrows , w , 106 , 1418327539736 , 452.3171 , 260.8204
Arrows , w , 106 , 1418327539770 , 447.0716 , 272.592
Arrows , s , 107 , 1418327539817 , 472.9117 , 279.6937
of , o , 109 , 1418327539851 , 531.2395 , 279.6169
outrageous , g , 117 , 1418327539921 , 718.8551 , 264.0441
outrageous , g , 117 , 1418327539966 , 715.306 , 279.156
outrageous , g , 117 , 1418327540001 , 715.561 , 276.0907
outrageous , g , 117 , 1418327540036 , 718.6403 , 271.1446
outrageous , g , 117 , 1418327540071 , 727.2845 , 274.2697
outrageous , o , 119 , 1418327540105 , 767.4478 , 272.6404
outrageous , u , 120 , 1418327540151 , 794.4218 , 271.8902
outrageous , s , 121 , 1418327540185 , 812.9022 , 269.4159
Fortune , F , 123 , 1418327540336 , 860.7624 , 257.3944
Fortune , F , 123 , 1418327540371 , 869.5621 , 252.6983
Fortune , F , 123 , 1418327540405 , 875.3708 , 254.0343
Fortune , r , 125 , 1418327540440 , 911.7899 , 218.8368
against , g , 150 , 1418327540475 , 419.2244 , 312.8145
Arms , r , 145 , 1418327540509 , 292.6676 , 329.0206
take , e , 142 , 1418327540590 , 210.2931 , 335.664
take , a , 140 , 1418327540624 , 169.7339 , 337.7812
Or , r , 134 , 1418327540659 , 22.8684 , 346.4395
Or , r , 134 , 1418327540706 , 26.7695 , 336.4212
Or , r , 134 , 1418327540741 , 25.3061 , 344.8378
Or , r , 134 , 1418327540776 , 21.5099 , 345.2185
to , t , 136 , 1418327540959 , 62.8898 , 331.5657
to , t , 136 , 1418327540994 , 75.2138 , 332.9145
Arrows , A , 102 , 1418327541028 , 354.638 , 290.5043
against , a , 149 , 1418327541073 , 374.1363 , 329.6739
against , a , 149 , 1418327541108 , 374.1186 , 323.2609
against , a , 149 , 1418327541179 , 373.7492 , 328.52
against , a , 149 , 1418327541261 , 392.4662 , 324.2758
against , g , 150 , 1418327541295 , 408.3975 , 325.4206
against , a , 151 , 1418327541330 , 420.582 , 324.8459
against , a , 151 , 1418327541364 , 429.6746 , 324.4022
against , a , 151 , 1418327541399 , 437.5567 , 324.3151
against , i , 152 , 1418327541445 , 445.6155 , 325.3022
against , i , 152 , 1418327541480 , 451.1454 , 322.9393
outrageous , o , 112 , 1418327541549 , 594.5948 , 297.2939
nhj , S , 159 , 1418327542031 , 616.2042 , 308.3961
Sea , S , 159 , 1418327542067 , 620.1556 , 308.8278
Sea , S , 159 , 1418327542102 , 625.7882 , 310.5925
Sea , S , 159 , 1418327542146 , 630.426 , 311.3066
Sea , S , 159 , 1418327542182 , 634.3087 , 311.214
Sea , e , 160 , 1418327542216 , 636.6797 , 310.5763
Sea , S , 159 , 1418327542252 , 632.4882 , 306.2274
Sea , S , 159 , 1418327542287 , 629.7276 , 301.5691
Sea , S , 159 , 1418327542331 , 626.2089 , 299.6134
outrageous , u , 113 , 1418327542365 , 622.7357 , 295.3267
outrageous , u , 113 , 1418327542401 , 622.4438 , 294.8522
troubles , o , 168 , 1418327542436 , 846.0872 , 300.6766
troubles , o , 168 , 1418327542481 , 844.0248 , 326.5748
troubles , o , 168 , 1418327542516 , 841.1314 , 309.7989
troubles , o , 168 , 1418327542551 , 837.5805 , 311.0591
troubles , o , 168 , 1418327542587 , 841.4652 , 307.984
troubles , o , 168 , 1418327542622 , 837.9728 , 312.2841
troubles , o , 168 , 1418327542658 , 835.4838 , 311.8189
troubles , o , 168 , 1418327542693 , 835.6122 , 317.8227
troubles , o , 168 , 1418327542738 , 835.4642 , 316.6692
troubles , o , 168 , 1418327542773 , 832.9286 , 317.9674
troubles , r , 167 , 1418327542808 , 821.6832 , 313.1933
troubles , r , 167 , 1418327542842 , 811.2279 , 311.0916
troubles , t , 166 , 1418327542879 , 802.337 , 310.6232
troubles , t , 166 , 1418327542925 , 795.4825 , 306.5699
troubles , t , 166 , 1418327542959 , 788.4323 , 305.5404
troubles , t , 166 , 1418327542994 , 783.5523 , 305.8626
troubles , t , 166 , 1418327543029 , 785.8746 , 304.5446
troubles , t , 166 , 1418327543063 , 790.2 , 303.9396
troubles , t , 166 , 1418327543108 , 794.0939 , 305.424
troubles , t , 166 , 1418327543142 , 798.7213 , 302.3145
troubles , t , 166 , 1418327543178 , 803.2842 , 300.8011
Sea , S , 159 , 1418327543213 , 619.0364 , 311.2757
take , a , 140 , 1418327543258 , 158.2125 , 384.1844
take , t , 139 , 1418327543292 , 132.0155 , 373.8191
And , n , 178 , 1418327543441 , 21.7673 , 408.3161
And , A , 177 , 1418327543477 , 11.6983 , 406.0276
And , A , 177 , 1418327543513 , 10.3771 , 401.8037
And , A , 177 , 1418327543548 , 11.5613 , 395.3118
And , A , 177 , 1418327543583 , 10.8888 , 398.7743
And , A , 177 , 1418327543628 , 8.5563 , 400.2532
And , n , 178 , 1418327543663 , 20.8152 , 396.7678
And , n , 178 , 1418327543698 , 29.0952 , 396.5121
And , n , 178 , 1418327543733 , 35.5383 , 392.0193
And , d , 179 , 1418327543767 , 39.3553 , 391.6056
opposing , o , 187 , 1418327543814 , 235.8666 , 406.5174
against , g , 150 , 1418327543849 , 404.7386 , 387.8053
end , e , 194 , 1418327543884 , 403.5818 , 397.3539
end , e , 194 , 1418327543920 , 406.3748 , 398.7187
end , e , 194 , 1418327543956 , 403.987 , 396.5233
end , e , 194 , 1418327543990 , 402.5278 , 399.1527
end , e , 194 , 1418327544035 , 417.6609 , 414.4515
end , e , 194 , 1418327544070 , 398.1658 , 405.2451
them , m , 201 , 1418327544105 , 579.8185 , 407.7476
To , T , 204 , 1418327544140 , 643.7672 , 403.3043
To , o , 205 , 1418327544174 , 671.7791 , 407.8167
die , e , 209 , 1418327544255 , 758.6627 , 391.6575
die , i , 208 , 1418327544290 , 738.4349 , 424.3851
To , o , 205 , 1418327544359 , 683.936 , 411.146
To , o , 205 , 1418327544406 , 674.8571 , 413.9858
To , o , 205 , 1418327544440 , 668.6082 , 411.0143
To , o , 205 , 1418327544475 , 665.8521 , 411.3949
To , o , 205 , 1418327544510 , 666.2727 , 409.6141
To , o , 205 , 1418327544544 , 663.6569 , 406.1694
To , o , 205 , 1418327544590 , 661.6656 , 404.4597
To , o , 205 , 1418327544625 , 660.3076 , 401.8827
nhj , e , 160 , 1418327544659 , 657.3948 , 389.8443
Sea , e , 160 , 1418327544694 , 652.1049 , 380.2682
Sea , e , 160 , 1418327544740 , 648.3259 , 372.4106
Sea , e , 160 , 1418327544775 , 644.6068 , 362.9557
Sea , e , 160 , 1418327544811 , 641.0349 , 355.4387
Sea , e , 160 , 1418327544845 , 639.0064 , 347.6901
Sea , S , 159 , 1418327544880 , 635.8672 , 341.082
Sea , S , 159 , 1418327544915 , 633.8687 , 334.7029
Sea , S , 159 , 1418327544961 , 632.6486 , 330.7909
Sea , S , 159 , 1418327544996 , 630.6224 , 327.2994
Sea , S , 159 , 1418327545031 , 628.6014 , 324.0415
Sea , S , 159 , 1418327545066 , 627.7584 , 319.8439
Sea , S , 159 , 1418327545099 , 625.4594 , 315.2751
Sea , S , 159 , 1418327545146 , 624.771 , 313.1954
Sea , S , 159 , 1418327545181 , 622.218 , 311.9081
Sea , S , 159 , 1418327545215 , 619.7469 , 313.4413
Sea , S , 159 , 1418327545249 , 617.2487 , 316.6109
Sea , S , 159 , 1418327545284 , 614.5948 , 319.9287
Sea , S , 159 , 1418327545330 , 612.7575 , 324.6325
Sea , S , 159 , 1418327545365 , 614.9507 , 329.2005
Sea , S , 159 , 1418327545401 , 615.3193 , 332.5949
Sea , S , 159 , 1418327545435 , 616.6874 , 336.7031
Sea , S , 159 , 1418327545471 , 619.2855 , 342.8814
to , t , 212 , 1418327545506 , 836.8751 , 464.0226
to , t , 212 , 1418327545552 , 828.887 , 467.2902
to , t , 212 , 1418327545920 , 832.9975 , 425.8319
to , t , 212 , 1418327545954 , 838.9167 , 426.9013
to , t , 212 , 1418327545988 , 845.3536 , 426.5655
to , t , 212 , 1418327546035 , 849.9101 , 425.9075
to , o , 213 , 1418327546069 , 853.2676 , 425.0917
to , o , 213 , 1418327546106 , 857.2388 , 424.6495
to , o , 213 , 1418327546141 , 860.7599 , 426.1354
to , o , 213 , 1418327546176 , 860.1453 , 422.6971
to , o , 213 , 1418327546210 , 859.3281 , 421.0144
to , o , 213 , 1418327546257 , 858.7829 , 418.8841
Sea , S , 159 , 1418327546291 , 615.4156 , 331.1575
outrageous , o , 112 , 1418327546324 , 607.8796 , 294.4473
outrageous , o , 112 , 1418327546625 , 599.4857 , 295.2095
outrageous , o , 112 , 1418327546660 , 599.176 , 294.1143
a , a , 157 , 1418327546994 , 586.5797 , 301.9115
a , a , 157 , 1418327547029 , 579.3137 , 302.8551
a , a , 157 , 1418327547065 , 572.6766 , 303.0339
a , a , 157 , 1418327547099 , 566.0061 , 303.2179
against , g , 150 , 1418327547180 , 398.6412 , 328.7363
against , a , 149 , 1418327547215 , 385.4926 , 303.9358
against , a , 149 , 1418327547250 , 383.9814 , 303.3261
against , a , 149 , 1418327547284 , 383.6455 , 300.1349
Arrows , r , 103 , 1418327547331 , 381.8556 , 295.1188
against , a , 149 , 1418327547367 , 382.8049 , 302.6312
against , a , 149 , 1418327547401 , 385.1849 , 303.0052
against , a , 149 , 1418327547437 , 386.8752 , 304.9917
against , a , 149 , 1418327547472 , 386.7469 , 305.6458
outrageous , u , 113 , 1418327547506 , 612.5826 , 277.1162
nhj , S , 159 , 1418327547620 , 613.1332 , 317.4259
Sea , S , 159 , 1418327547656 , 613.2435 , 317.6656
Sea , S , 159 , 1418327547691 , 612.9292 , 318.6337
Sea , S , 159 , 1418327547736 , 612.3842 , 318.4244
Arms , m , 146 , 1418327548025 , 322.5064 , 312.2551
against , a , 149 , 1418327548255 , 372.9237 , 315.9877
against , a , 149 , 1418327548325 , 374.3743 , 322.2001
against , a , 149 , 1418327548359 , 372.6631 , 318.7326
against , a , 149 , 1418327548395 , 372.8066 , 319.1493
against , a , 149 , 1418327548440 , 372.5049 , 319.6428
against , a , 149 , 1418327548475 , 372.4726 , 320.5034
against , a , 149 , 1418327548510 , 373.9827 , 322.28
against , a , 149 , 1418327548543 , 374.7498 , 324.527
against , a , 149 , 1418327548578 , 374.9264 , 326.279
against , a , 149 , 1418327548624 , 374.2485 , 327.3219
against , a , 149 , 1418327548659 , 375.1239 , 328.4534
against , a , 149 , 1418327548695 , 374.1494 , 328.7771
against , a , 149 , 1418327548729 , 373.0783 , 328.721
against , a , 149 , 1418327548763 , 372.7837 , 330.038
against , a , 149 , 1418327548809 , 372.671 , 331.6674
against , a , 149 , 1418327548844 , 372.9698 , 331.8946
against , a , 149 , 1418327548879 , 373.2896 , 333.4299
against , a , 149 , 1418327548913 , 373.5463 , 333.5522
Nobler , l , 60 , 1418327548948 , 391.0429 , 179.0023
Nobler , l , 60 , 1418327548992 , 388.3029 , 187.3598
Nobler , l , 60 , 1418327549027 , 391.0382 , 193.8424
Nobler , l , 60 , 1418327549062 , 389.3653 , 202.0178
Nobler , l , 60 , 1418327549097 , 390.1514 , 200.6679
Nobler , l , 60 , 1418327549144 , 386.7587 , 202.8208
Nobler , b , 59 , 1418327549178 , 362.9565 , 206.2644
Nobler , o , 58 , 1418327549249 , 326.2887 , 206.1737
Nobler , N , 57 , 1418327549284 , 315.9818 , 206.9961
Slings , l , 92 , 1418327549318 , 111.0525 , 225.455
Slings , l , 92 , 1418327549363 , 111.4345 , 217.1838
Slings , l , 92 , 1418327549397 , 111.4918 , 221.8086
Slings , S , 91 , 1418327549432 , 107.2591 , 223.5084
Slings , S , 91 , 1418327549467 , 105.6815 , 227.9829
Slings , S , 91 , 1418327549512 , 104.4933 , 224.9199
Slings , S , 91 , 1418327549547 , 103.296 , 224.1242
Slings , S , 91 , 1418327549582 , 102.6515 , 223.8921
Slings , S , 91 , 1418327549618 , 101.3237 , 223.9008
Slings , S , 91 , 1418327549653 , 102.2785 , 223.5585
Slings , S , 91 , 1418327549699 , 93.0406 , 225.0072
Slings , S , 91 , 1418327549734 , 86.7503 , 224.6426
The , e , 89 , 1418327549920 , 53.5904 , 222.6653
The , e , 89 , 1418327549955 , 45.9732 , 222.8204
The , e , 89 , 1418327549990 , 40.1477 , 222.7273
The , h , 88 , 1418327550024 , 34.2856 , 223.6398
The , h , 88 , 1418327550059 , 28.5444 , 223.6416
The , h , 88 , 1418327550105 , 22.2882 , 224.1955
The , h , 88 , 1418327550139 , 16.8475 , 224.2993
The , T , 87 , 1418327550174 , 11.6709 , 224.8231
The , T , 87 , 1418327550208 , 7.6846 , 224.4695
The , T , 87 , 1418327550254 , 4.1219 , 224.2138
The , T , 87 , 1418327550289 , 0.7627 , 223.7692
The , T , 87 , 1418327550325 , -2.1487 , 223.8603
The , T , 87 , 1418327550359 , -5.9667 , 224.025
The , T , 87 , 1418327550394 , -9.0323 , 224.2889
The , T , 87 , 1418327550429 , -11.7805 , 225.3024
The , T , 87 , 1418327550474 , -8.962 , 226.1559
Slings , n , 94 , 1418327550508 , 173.956 , 232.7785
Slings , g , 95 , 1418327550542 , 189.6859 , 231.16
Slings , g , 95 , 1418327550577 , 194.1187 , 240.2739
Slings , s , 96 , 1418327550623 , 212.7554 , 247.5841
Slings , s , 96 , 1418327550658 , 226.67 , 245.5133
Slings , s , 96 , 1418327550841 , 219.8168 , 234.4386
Slings , s , 96 , 1418327550876 , 204.084 , 237.2163
Slings , g , 95 , 1418327550911 , 191.9386 , 236.8288
Slings , g , 95 , 1418327550956 , 181.6616 , 239.3197
Slings , n , 94 , 1418327550990 , 170.8974 , 241.7507
Slings , n , 94 , 1418327551025 , 175.7965 , 243.8989
Slings , n , 94 , 1418327551060 , 178.2204 , 244.9204
Slings , g , 95 , 1418327551095 , 181.2553 , 246.1996
Slings , g , 95 , 1418327551140 , 184.878 , 247.4526
Slings , g , 95 , 1418327551174 , 188.2402 , 247.7224
Slings , g , 95 , 1418327551209 , 190.0965 , 248.3346
Slings , g , 95 , 1418327551244 , 193.0282 , 249.7083
against , t , 155 , 1418327551290 , 531.5172 , 301.5538
Arrows , r , 103 , 1418327551653 , 372.7225 , 290.9046
tis , i , 54 , 1418327551688 , 230.303 , 205.6937
Slings , S , 91 , 1418327552243 , 97.161 , 226.3094
Slings , S , 91 , 1418327552289 , 85.1102 , 223.4152
Slings , S , 91 , 1418327552323 , 86.7308 , 220.1447
Slings , S , 91 , 1418327552359 , 88.9976 , 220.6779
Slings , S , 91 , 1418327552393 , 90.6479 , 224.4221
Slings , S , 91 , 1418327552427 , 88.8641 , 225.4145
Slings , S , 91 , 1418327552473 , 86.7706 , 225.8587
Slings , S , 91 , 1418327552508 , 85.3788 , 225.6025
The , e , 89 , 1418327552578 , 57.0998 , 229.7313
The , e , 89 , 1418327552622 , 48.9894 , 231.7658
The , e , 89 , 1418327552657 , 43.0171 , 234.2615
The , e , 89 , 1418327552692 , 36.4234 , 234.436
The , h , 88 , 1418327552726 , 30.3926 , 235.1192
The , h , 88 , 1418327552761 , 31.5014 , 232.5979
The , h , 88 , 1418327552807 , 31.3799 , 232.6077
The , h , 88 , 1418327552842 , 33.3244 , 232.4189
The , h , 88 , 1418327552877 , 34.6189 , 230.7957
The , h , 88 , 1418327552912 , 35.0529 , 230.8343
The , e , 89 , 1418327552947 , 36.9014 , 230.8629
Arrows , A , 102 , 1418327552982 , 348.7955 , 222.7397
Slings , s , 96 , 1418327553028 , 216.4238 , 273.3741
Slings , g , 95 , 1418327553063 , 186.4088 , 263.2913
Slings , n , 94 , 1418327553097 , 174.7046 , 259.239
Slings , n , 94 , 1418327553132 , 166.3184 , 255.9937
Slings , g , 95 , 1418327553177 , 182.397 , 245.489
Slings , g , 95 , 1418327553212 , 193.4487 , 244.8034
Slings , g , 95 , 1418327553247 , 200.8374 , 239.9784
Slings , s , 96 , 1418327553281 , 208.6308 , 238.2804
Slings , s , 96 , 1418327553316 , 213.9994 , 234.855
Slings , s , 96 , 1418327553362 , 217.2016 , 234.1201
a , a , 157 , 1418327553538 , 565.8932 , 301.685
a , a , 157 , 1418327553585 , 567.6104 , 303.8955
a , a , 157 , 1418327553620 , 569.32 , 304.1079
a , a , 157 , 1418327553655 , 568.4693 , 302.4683
a , a , 157 , 1418327553689 , 565.7906 , 301.471
a , a , 157 , 1418327553723 , 565.965 , 301.4894
a , a , 157 , 1418327553768 , 566.0818 , 300.6584
a , a , 157 , 1418327553803 , 567.5929 , 301.0146
a , a , 157 , 1418327553838 , 568.7036 , 300.1135
a , a , 157 , 1418327553873 , 568.9268 , 300.3237
a , a , 157 , 1418327553908 , 568.9905 , 299.5518
a , a , 157 , 1418327553987 , 571.1961 , 300.1168
a , a , 157 , 1418327554023 , 574.7362 , 300.5988
a , a , 157 , 1418327554057 , 579.2084 , 302.1537
a , a , 157 , 1418327554103 , 582.5502 , 301.1379
a , a , 157 , 1418327554139 , 585.752 , 301.9095
nhj , S , 159 , 1418327554985 , 615.382 , 314.8859
Sea , S , 159 , 1418327555020 , 618.8597 , 317.7794
Sea , S , 159 , 1418327555066 , 621.7255 , 320.7264
Sea , S , 159 , 1418327555102 , 624.1255 , 320.9511
Sea , S , 159 , 1418327555137 , 622.5945 , 317.4995
Sea , S , 159 , 1418327555171 , 622.3452 , 313.709
Sea , S , 159 , 1418327555207 , 622.6685 , 310.7914
Sea , S , 159 , 1418327555241 , 621.9535 , 307.9684
Sea , S , 159 , 1418327555287 , 621.0936 , 304.997
Sea , S , 159 , 1418327555322 , 621.1756 , 302.2614
Sea , S , 159 , 1418327555356 , 620.6627 , 299.7182
Sea , S , 159 , 1418327555391 , 619.2689 , 299.2267
and , a , 98 , 1418327555473 , 266.3076 , 268.7801
and , a , 98 , 1418327555508 , 271.6493 , 265.4934
and , a , 98 , 1418327555543 , 272.4177 , 262.2126
and , a , 98 , 1418327555577 , 272.6667 , 262.6756
and , a , 98 , 1418327555612 , 273.0851 , 261.0254
and , a , 98 , 1418327555648 , 268.6521 , 260.9262
and , a , 98 , 1418327555693 , 260.8492 , 253.5085
and , a , 98 , 1418327555728 , 252.1092 , 248.3013
Slings , s , 96 , 1418327555990 , 227.9662 , 233.3871
Slings , s , 96 , 1418327556025 , 225.5201 , 231.5181
Slings , s , 96 , 1418327556060 , 223.8027 , 231.1685
Slings , s , 96 , 1418327556094 , 222.632 , 229.8323
Slings , s , 96 , 1418327556130 , 220.6403 , 229.4152
Slings , s , 96 , 1418327556165 , 218.8077 , 228.3718
Slings , s , 96 , 1418327556210 , 216.1119 , 229.1792
The , T , 87 , 1418327556245 , -49.0719 , 253.4833
The , T , 87 , 1418327556281 , -14.8145 , 237.4864
The , h , 88 , 1418327556315 , 24.7978 , 244.0196
The , h , 88 , 1418327556359 , 29.6403 , 239.794
The , h , 88 , 1418327556394 , 13.7592 , 239.8871
The , T , 87 , 1418327556429 , 2.7006 , 237.8849
The , T , 87 , 1418327556463 , -1.5898 , 237.7355
The , T , 87 , 1418327556509 , -8.5111 , 235.7848
The , T , 87 , 1418327556544 , -9.3165 , 235.0882
The , T , 87 , 1418327556579 , -12.3376 , 236.4463
The , T , 87 , 1418327556613 , -13.7269 , 235.7881
The , T , 87 , 1418327556648 , -6.3368 , 236.1222
Slings , s , 96 , 1418327556693 , 211.6089 , 235.1221
Slings , s , 96 , 1418327556913 , 227.2218 , 237.0012
Slings , s , 96 , 1418327556948 , 226.981 , 238.0447
Slings , s , 96 , 1418327556983 , 223.9703 , 239.1739
Slings , s , 96 , 1418327557018 , 224.901 , 238.7312
Slings , s , 96 , 1418327557064 , 225.1151 , 241.0085
Arrows , s , 107 , 1418327557099 , 485.8231 , 279.9971
Arrows , w , 106 , 1418327557134 , 460.9304 , 257.52
Arrows , w , 106 , 1418327557169 , 465.0105 , 254.2832
Arrows , w , 106 , 1418327557204 , 457.416 , 251.7307
Arrows , r , 104 , 1418327557239 , 413.0722 , 245.9104
Arrows , r , 103 , 1418327557284 , 389.7796 , 236.2001
